Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Change,Hour,Weekday,Month,Volatility,CandleBodyRatio,Year
13/07/2018,BTCUSD,6234.22,6248.99,6228.08,6241.75,62.82,391997.33,0.1200000000,11:00,Friday,July,0.0033540684,0.3601147776,2018
13/07/2018,BTCUSD,6234.85,6245.87,6226.18,6234.22,94.38,588479.19,-0.0100000000,10:00,Friday,July,0.0031580551,0.0319959370,2018
13/07/2018,BTCUSD,6233.96,6245.47,6230,6234.85,154.3,962281.91,0.0100000000,09:00,Friday,July,0.0024815687,0.0575307046,2018
13/07/2018,BTCUSD,6249.19,6250,6229.1,6233.96,128.9,804393.43,-0.2400000000,08:00,Friday,July,0.0033444334,0.7287081340,2018
13/07/2018,BTCUSD,6230.01,6253.9,6229.38,6249.19,236.18,1474017.93,0.3100000000,07:00,Friday,July,0.0039357882,0.7822185971,2018
13/07/2018,BTCUSD,6244.39,6247.98,6212.21,6230.01,184.38,1148580.47,-0.2300000000,06:00,Friday,July,0.0057283418,0.4020128599,2018
13/07/2018,BTCUSD,6245.68,6256.75,6229.16,6244.39,242.49,1513210.93,-0.0200000000,05:00,Friday,July,0.0044174533,0.0467560710,2018
13/07/2018,BTCUSD,6249.87,6264.75,6236.01,6245.68,219.95,1375165.61,-0.0700000000,04:00,Friday,July,0.0045984956,0.1457898399,2018
13/07/2018,BTCUSD,6242.9,6252.93,6236.55,6249.87,139.55,871611.63,0.1116468308,03:00,Friday,July,0.0026237806,0.4255189255,2018
13/07/2018,BTCUSD,6232.71,6254.67,6228.76,6242.9,187.3,1168928.22,0.1634922851,02:00,Friday,July,0.0041571002,0.3932844462,2018
13/07/2018,BTCUSD,6236.88,6249.82,6231.94,6232.71,114.45,714175.12,-0.0700000000,01:00,Friday,July,0.0028668180,0.2332214765,2018
13/07/2018,BTCUSD,6243.88,6284.05,6214.94,6236.88,466.27,2910899.5,-0.1100000000,00:00,Friday,July,0.0110684382,0.1012878021,2018
12/07/2018,BTCUSD,6149.11,6267.31,6072,6243.88,1039.01,6412278.5,1.5400000000,23:00,Thursday,July,0.0317623201,0.4852286109,2018
12/07/2018,BTCUSD,6171.68,6173.61,6110.08,6149.11,309.59,1901284.59,-0.3700000000,22:00,Thursday,July,0.0102937936,0.3552652290,2018
12/07/2018,BTCUSD,6173.05,6176.66,6153.52,6171.68,81.22,500729.79,-0.0200000000,21:00,Thursday,July,0.0037485522,0.0592048401,2018
12/07/2018,BTCUSD,6174.76,6187.42,6166.91,6173.05,120.99,747520.42,-0.0300000000,20:00,Thursday,July,0.0033215866,0.0833739639,2018
12/07/2018,BTCUSD,6173.99,6180.17,6150.43,6174.76,148.79,916929.71,0.0100000000,19:00,Thursday,July,0.0048169822,0.0258910558,2018
12/07/2018,BTCUSD,6179.12,6185,6165.22,6173.99,103.57,639670.03,-0.0800000000,18:00,Thursday,July,0.0032011031,0.2593528817,2018
12/07/2018,BTCUSD,6181.23,6189,6167.64,6179.12,168.14,1039237.28,-0.0300000000,17:00,Thursday,July,0.0034556229,0.0987827715,2018
12/07/2018,BTCUSD,6169.51,6192.89,6166.78,6181.23,342.08,2115989.77,0.1900000000,16:00,Thursday,July,0.0042321027,0.4488701647,2018
12/07/2018,BTCUSD,6180.97,6182.55,6159.01,6169.51,166.21,1025666.81,-0.1900000000,15:00,Thursday,July,0.0038084637,0.4868309261,2018
